"","datetime","city","country","shape"
"877",2020-10-01,"","",""
"878",NA,"","",""
"1713",2020-10-14,"","",""
"1714",NA,"","",""
"1816",2020-10-14,"","",""
"1817",NA,"","",""
"2860",2020-10-17,"","",""
"2861",NA,"","",""
"3737",2020-10-20,"","",""
"3738",NA,"","",""
"4760",2020-10-24,"","",""
"4761",NA,"","",""
"5394",2020-10-27,"","",""
"5395",NA,"","",""
"5429",2020-10-27,"","",""
"5430",NA,"","",""
"5621",2020-10-28,"","",""
"5622",NA,"","",""
"5857",2020-10-29,"","",""
"5858",NA,"","",""
"6102",2020-10-30,"","",""
"6103",NA,"","",""
"7526",2020-10-06,"","",""
"7527",NA,"","",""
"7637",2020-10-07,"","",""
"7638",NA,"","",""
"8905",2020-11-11,"","",""
"8906",NA,"","",""
"9028",2019-11-01,"","",""
"9029",NA,"","",""
"9585",2019-11-12,"","",""
"9586",NA,"","",""
"9635",2020-11-12,"","",""
"9636",NA,"","",""
"9767",2020-11-12,"","",""
"9768",NA,"","",""
"10174",2020-11-14,"","",""
"10175",NA,"","",""
"10445",2019-11-15,"","",""
"10446",NA,"","",""
"12054",2019-01-01,"","",""
"12055",NA,"","",""
"12133",2020-01-01,"","",""
"12134",NA,"","",""
"12165",2020-01-01,"","",""
"12166",NA,"","",""
"12913",2020-11-20,"","",""
"12914",NA,"","",""
"14636",2019-11-27,"","",""
"14637",NA,"","",""
"16055",2020-11-04,"","",""
"16056",NA,"","",""
"16369",2019-01-15,"","",""
"16370",NA,"","",""
"16425",2020-11-05,"","",""
"16426",NA,"","",""
"16662",2020-01-15,"","",""
"16663",NA,"","",""
"16750",2020-01-15,"","",""
"16751",NA,"","",""
"18270",2020-01-19,"","",""
"18271",NA,"","",""
"18397",2020-01-19,"","",""
"18398",NA,"","",""
"18510",2019-01-20,"","",""
"18511",NA,"","",""
"19846",2020-12-13,"","",""
"19847",NA,"","",""
"19892",2020-12-13,"","",""
"19893",NA,"","",""
"19943",2020-12-13,"","",""
"19944",NA,"","",""
"19970",2020-12-13,"","",""
"19971",NA,"","",""
"20422",2020-12-15,"","",""
"20423",NA,"","",""
"20570",2020-12-16,"","",""
"20571",NA,"","",""
"20802",2020-12-17,"","",""
"20803",NA,"","",""
"21184",2020-01-02,"","",""
"21185",NA,"","",""
"21331",2020-01-02,"","",""
"21332",NA,"","",""
"21350",2019-12-20,"","",""
"21351",NA,"","",""
"21618",2020-12-21,"","",""
"21619",NA,"","",""
"22009",2019-12-22,"","",""
"22010",NA,"","",""
"22136",2020-12-22,"","",""
"22137",NA,"","",""
"22153",2020-12-22,"","",""
"22154",NA,"","",""
"22282",2020-12-23,"","",""
"22283",NA,"","",""
"22832",2020-12-25,"","",""
"22833",NA,"","",""
"23191",2020-12-27,"","",""
"23192",NA,"","",""
"23194",2020-12-27,"","",""
"23195",NA,"","",""
"23301",2019-12-28,"","",""
"23302",NA,"","",""
"23420",2020-12-28,"","",""
"23421",NA,"","",""
"23516",2020-12-29,"","",""
"23517",NA,"","",""
"23675",2019-12-30,"","",""
"23676",NA,"","",""
"23786",2020-12-30,"","",""
"23787",NA,"","",""
"23979",2020-12-31,"","",""
"23980",NA,"","",""
"24752",2020-12-04,"","",""
"24753",NA,"","",""
"25600",2020-01-26,"","",""
"25601",NA,"","",""
"25761",2020-12-07,"","",""
